round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,loss
1,0.9336,0.93332,0.93335,0.93287,0.9336,0.9336,0.9336,0.22559
2,0.9566,0.95696,0.95573,0.95612,0.9566,0.9566,0.9566,0.14434
3,0.9656,0.96567,0.96524,0.96528,0.9656,0.9656,0.9656,0.11375
4,0.9701,0.97027,0.96979,0.96995,0.9701,0.9701,0.9701,0.09612
5,0.9714,0.97149,0.97119,0.97114,0.9714,0.9714,0.9714,0.09391
6,0.9742,0.97395,0.97403,0.97391,0.9742,0.9742,0.9742,0.07898
7,0.9773,0.97734,0.97703,0.97714,0.9773,0.9773,0.9773,0.07264
8,0.977,0.97693,0.97685,0.97686,0.977,0.977,0.977,0.06972
9,0.9791,0.97901,0.97897,0.97897,0.9791,0.9791,0.9791,0.06617
10,0.9784,0.97822,0.97827,0.97821,0.9784,0.9784,0.9784,0.07166
11,0.9788,0.97879,0.97866,0.9787,0.9788,0.9788,0.9788,0.06589
12,0.9755,0.97539,0.97539,0.9753,0.9755,0.9755,0.9755,0.07123
13,0.9794,0.97932,0.97916,0.97921,0.9794,0.9794,0.9794,0.06558
14,0.9792,0.97914,0.97908,0.97907,0.9792,0.9792,0.9792,0.06834
15,0.9784,0.97835,0.97828,0.97825,0.9784,0.9784,0.9784,0.0724
16,0.9788,0.9788,0.97857,0.97865,0.9788,0.9788,0.9788,0.06924
17,0.9799,0.9799,0.97968,0.97977,0.9799,0.9799,0.9799,0.0689
18,0.9786,0.97861,0.97835,0.97843,0.9786,0.9786,0.9786,0.07491
19,0.9793,0.97922,0.97919,0.97918,0.9793,0.9793,0.9793,0.06962
20,0.9801,0.98004,0.97989,0.97995,0.9801,0.9801,0.9801,0.06757
21,0.9798,0.97975,0.97964,0.97966,0.9798,0.9798,0.9798,0.06985
22,0.9808,0.98072,0.98061,0.98065,0.9808,0.9808,0.9808,0.06984
23,0.9786,0.97863,0.97828,0.97841,0.9786,0.9786,0.9786,0.07505
24,0.98,0.97993,0.97982,0.97986,0.98,0.98,0.98,0.07083
25,0.9801,0.98,0.97998,0.97998,0.9801,0.9801,0.9801,0.07141
26,0.9797,0.97961,0.97958,0.97958,0.9797,0.9797,0.9797,0.07141
27,0.981,0.98084,0.98088,0.98085,0.981,0.981,0.981,0.07149
28,0.9798,0.97971,0.97964,0.97966,0.9798,0.9798,0.9798,0.0723
29,0.9804,0.98029,0.9802,0.98024,0.9804,0.9804,0.9804,0.07177
30,0.9798,0.97972,0.97965,0.97967,0.9798,0.9798,0.9798,0.0727
31,0.9805,0.98041,0.98031,0.98035,0.9805,0.9805,0.9805,0.07297
32,0.98,0.97991,0.97985,0.97987,0.98,0.98,0.98,0.07376
33,0.9798,0.9797,0.97966,0.97967,0.9798,0.9798,0.9798,0.07469
34,0.98,0.97992,0.97986,0.97988,0.98,0.98,0.98,0.07468
35,0.9799,0.97982,0.97969,0.97975,0.9799,0.9799,0.9799,0.07503
36,0.9798,0.97972,0.97959,0.97964,0.9798,0.9798,0.9798,0.07567
37,0.9803,0.98018,0.98015,0.98016,0.9803,0.9803,0.9803,0.07544
38,0.9802,0.98008,0.98005,0.98006,0.9802,0.9802,0.9802,0.07533
39,0.9806,0.9805,0.98045,0.98047,0.9806,0.9806,0.9806,0.07535
40,0.9805,0.98042,0.98035,0.98038,0.9805,0.9805,0.9805,0.076
41,0.9799,0.97982,0.97972,0.97976,0.9799,0.9799,0.9799,0.0769
42,0.9797,0.97965,0.97953,0.97957,0.9797,0.9797,0.9797,0.07654
43,0.9807,0.98061,0.98056,0.98058,0.9807,0.9807,0.9807,0.07672
44,0.9802,0.98009,0.98004,0.98006,0.9802,0.9802,0.9802,0.07751
45,0.9805,0.98036,0.98035,0.98034,0.9805,0.9805,0.9805,0.07763
46,0.9803,0.98018,0.98017,0.98017,0.9803,0.9803,0.9803,0.07738
47,0.9794,0.97931,0.97922,0.97925,0.9794,0.9794,0.9794,0.07745
48,0.9804,0.98029,0.98024,0.98026,0.9804,0.9804,0.9804,0.07756
49,0.9804,0.98033,0.98027,0.98029,0.9804,0.9804,0.9804,0.07827
50,0.9803,0.98022,0.9801,0.98015,0.9803,0.9803,0.9803,0.07854
